#k-distance frequency[THz]
0.35636489 0.14058835
0.35898054 -0.00000011
0.35898054 -0.00000011
0.36161931 0.13980602
0.36425805 0.27927624
0.36689682 0.41807269
0.36953559 0.55585308
0.37217433 0.69226876
0.37481310 0.82696302
0.37745187 0.95956961
0.38009061 1.08971199
0.38272938 1.21700337
0.38536815 1.34104795
0.38800689 1.46144377
0.39064566 1.57778737
0.39328443 1.68968059
0.39592317 1.79673929
0.39856194 1.89860375
0.40120071 1.99494991
0.40383945 2.08550041
0.40647822 2.17003454
0.40911699 2.24839618
0.41175573 2.32049952
0.41439450 2.38633277
0.41703327 2.44596023
0.41967201 2.49952304
0.42231078 2.54723847
0.42494955 2.58939685
0.42758829 2.62635491
0.43022706 2.65852462
0.43286583 2.68635712
