#k-distance eigenvalue[eV]
2.71588439 1.85412975
2.78381417 1.80612975

0.00000000 2.22322975
0.07353615 2.31572975
0.14707228 2.59412975
0.22060842 3.02102975
0.29414457 3.00002975
0.36768070 3.11752975
0.44121685 3.15192975
0.51475300 3.09572975
0.58828913 3.01312975
0.58828913 3.01312975
0.65365459 3.03422975
0.71902002 3.03052975
0.78438549 3.08062975
0.84975095 3.20242975
0.91511641 3.34022975
0.98048188 3.48262975
1.04584734 3.62102975
1.11121277 3.74592975
1.17657824 3.76932975
1.24194370 3.77122975
1.30730916 3.81932975
1.37267463 3.91322975
1.43804009 4.04182975
1.50340556 4.12482975
1.56877099 4.14552975
1.63413645 4.09782975
1.69950192 4.03692975
1.76486738 4.01102975
1.76486738 4.01102975
1.83279716 4.03872975
1.90072696 4.09622975
1.96865674 4.08542975
2.03658652 3.94052975
2.10451632 3.74082975
2.17244610 3.52912975
2.24037588 3.32252975
2.30830568 3.12552975
2.37623546 2.92572975
2.44416523 2.72282975
2.51209503 2.53332975
2.58002481 2.38172975
2.64795459 2.28492975
2.71588439 2.23712975
2.78381417 2.22322975

0.00000000 3.12482975
0.07353615 3.12202975
0.14707228 3.10542975
0.22060842 3.06062975
0.29414457 3.46112975
0.36768070 3.69222975
0.44121685 3.63412975
0.51475300 3.47402975
0.58828913 3.38672975
0.58828913 3.38672975
0.65365459 3.46052975
0.71902002 3.60902975
0.78438549 3.75772975
0.84975095 3.86992975
0.91511641 3.92112975
0.98048188 3.90772975
1.04584734 3.85632975
1.11121277 3.80262975
1.17657824 3.84032975
1.24194370 3.88912975
1.30730916 3.91432975
1.37267463 3.96232975
1.43804009 4.04422975
1.50340556 4.17962975
1.56877099 4.27722975
1.63413645 4.29912975
1.69950192 4.28192975
1.76486738 4.26892975
1.76486738 4.26892975
1.83279716 4.28272975
